URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,High school diploma or equivalent,None,Apprenticeship,52800,2100,Stained glass joiners,44630.0,21.46,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,High school diploma or equivalent,None,Apprenticeship,28900,1900,Elevator installers,84990.0,40.86,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Electrical sign wirer helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,Bachelor's degree,None,None,21200,1000,Biomedical engineers,91410.0,43.95,0.05, Faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Electronic assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,Bachelor's degree,Less than 5 years,None,175500,29800,Social and community service managers,67150.0,32.28,0.17, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Ditching machine operating engineers,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Census takers,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Guide dog mobility instructors,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,Bachelor's degree,None,None,32600,1400,Oxidation engineers,108770.0,52.3,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Survey interviewers,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,Postsecondary nondegree award,None,None,111300,7600,CSTs,48300.0,23.22,0.07, Faster than average
https://www.bls.gov/ooh/management/public-relations-managers.htm,Bachelor's degree,5 years or more,None,88000,8100,Public relations directors,116180.0,55.86,0.09, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,Die designers,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,45300,3700,Radiological control and safety technicians,43900.0,21.11,0.08, Much faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Neonatologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/management/training-and-development-managers.htm,Bachelor's degree,5 years or more,None,42300,3100,Job training coordinators,113350.0,54.5,0.07, Faster than average
https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,High school diploma or equivalent,None,Long-term on-the-job training,51700,-8100,"Power plant operators, distributors, and dispatchers",85950.0,41.32,-0.16, Decline
https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,Associate's degree,None,None,14600,400,Electro-mechanical technicians,58350.0,28.05,0.03, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Hardwood finishers,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,Master's degree,Less than 5 years,None,190500,7100,Graduate studies deans,95410.0,45.87,0.04, As fast as average
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,Chief sustainability officers,104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,Bachelor's degree,None,None,67500,2800,Motion graphics designers,75270.0,36.19,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Immunologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,Master's degree,None,None,263400,117700,Certified nurse midwives,115800.0,55.67,0.45, Much faster than average
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Fiber artists,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,Master's degree,None,None,263400,117700,Nurse midwives,115800.0,55.67,0.45, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,No formal educational credential,None,Moderate-term on-the-job training,146900,-300,Acoustical ceiling installers,47360.0,22.77,0.0, Little or no change
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,No formal educational credential,None,Moderate-term on-the-job training,161600,3800,Slaters,42100.0,20.24,0.02, Slower than average
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,Bachelor's degree,None,None,59300,-6200,Adult remedial education instructors,54350.0,26.13,-0.1, Decline
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Bachelor's degree,None,None,3096700,221900,Community health nurses,73300.0,35.24,0.07, Faster than average
https://www.bls.gov/ooh/math/operations-research-analysts.htm,Bachelor's degree,None,None,105100,26100,Operations research analysts,84810.0,40.78,0.25, Much faster than average
https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,Bachelor's degree,None,None,274600,19700,Public relations specialists,61150.0,29.4,0.07, Faster than average
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,Bachelor's degree,None,None,319400,79000,Behavior disorder counselors,46240.0,22.23,0.25, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Roulette dealers,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/management/public-relations-managers.htm,Bachelor's degree,5 years or more,None,88000,8100,Communication managers,116180.0,55.86,0.09, Much faster than average
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,Bachelor's degree,See How to Become One,See How to Become One,526200,-37600,Procurement managers,69600.0,33.46,-0.07, Decline
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Bachelor's degree,None,Long-term on-the-job training,131200,-3100,Poets,63200.0,30.39,-0.02, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,"Credit authorizers, checkers, and clerks",40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,High school diploma or equivalent,5 years or more,None,952300,-61600,Fish hatchery managers,71160.0,34.21,-0.06, Decline
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,High school diploma or equivalent,None,Apprenticeship,490200,20900,Pipefitters,55160.0,26.52,0.04, As fast as average
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,See How to Become One,None,Short-term on-the-job training,140300,13200,Multimedia production assistants,45510.0,21.88,0.09, Much faster than average
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,Bachelor's degree,None,None,77900,-3800,Furniture arrangers,56040.0,26.94,-0.05, Decline
https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,Bachelor's degree,None,Internship/residency,129900,1100,Building architects,80750.0,38.82,0.01, Slower than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Bricklayer helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Sewer pipe layer helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,Bachelor's degree,Less than 5 years,None,78900,-5400,Labor relations specialists,69020.0,33.18,-0.07, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Plumber assistants,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Bachelor's degree,None,None,1436100,61700,Information technology auditors,71550.0,34.4,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Gastroenterologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,4300,Documentation specialists,72850.0,35.03,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,See How to Become One,None,See How to Become One,61300,1800,Pipe coverers,44180.0,21.24,0.03, As fast as average
