URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,"$91,410 per year  $43.95 per hour",Bachelor's degree,None,None,21200,5% (Faster than average),1000,Biomedical engineers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Electronic assemblers
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,"$67,150 per year  $32.28 per hour",Bachelor's degree,Less than 5 years,None,175500,17% (Much faster than average),29800,Social and community service managers
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200,Ditching machine operating engineers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Census takers
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Guide dog mobility instructors
https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,"$108,770 per year  $52.30 per hour",Bachelor's degree,None,None,32600,4% (As fast as average),1400,Oxidation engineers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Survey interviewers
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,"$48,300 per year  $23.22 per hour",Postsecondary nondegree award,None,None,111300,7% (Faster than average),7600,CSTs
https://www.bls.gov/ooh/management/public-relations-managers.htm,"$116,180 per year  $55.86 per hour",Bachelor's degree,5 years or more,None,88000,9% (Much faster than average),8100,Public relations directors
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,"$56,830 per year  $27.32 per hour",Associate's degree,None,None,200900,-4% (Decline),-7100,Die designers
https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,"$43,900 per year  $21.11 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,45300,8% (Much faster than average),3700,Radiological control and safety technicians
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Neonatologists
https://www.bls.gov/ooh/management/training-and-development-managers.htm,"$113,350 per year  $54.50 per hour",Bachelor's degree,5 years or more,None,42300,7% (Faster than average),3100,Job training coordinators
